year,name,underwriter,listing_date,market,code,price_range,price_final,price_before1,price_before2,grade,grade_votes,reader_forecast,reader_forecast_n,stance_bars,hatsune_bars,hatsune,vote_status,detail_url
2012,ケネディクス・レジデンシャル投資法人,日興,04/26(木),東R,3278,190k-192k,"190,000","192,000","192,000",C,5,"196,286",7,"0,0,14.3,42.9,42.8","0,0,0,100,0","182,300",締切,https://kabu.96ut.com/article/ipo/2012015/
2012,こころネット,大和,04/25(水),JQS,6060,900-945,945,"1,080",945,C,5,954,5,"0,0,20,20,60","0,0,0,100,0","1,050",締切,https://kabu.96ut.com/article/ipo/2012012/
2012,ＡｖａｎＳｔｒａｔｅ,大和/三菱/メリル,04/24(火),東未,5220,500-610,未,550,-,D,3,543,4,"0,0,0,25,75","0,0,0,75,25",-,締切,https://kabu.96ut.com/article/ipo/2012011/
2012,ウチヤマホールディングス,大和,04/20(金),JQS,6059,"1,360-1,480","1,480","1,600","1,540",C,5,"1,526",12,"0,10,40,40,10","0,0,0,100,0","1,421",締切,https://kabu.96ut.com/article/ipo/2012010/
2012,エイチーム,大和,04/04(水),東M,3662,"1,000-1,080","1,080","2,800","2,600",S,10,"2,550",12,"45.5,36.4,18.1,0,0","83.3,8.3,8.3,0,0","2,923",締切,https://kabu.96ut.com/article/ipo/2012009/
2012,ベクトル,SBI,03/27(火),東M,6058,"940-1,000","1,000","1,350","1,300",B,7,"1,549",14,"14.3,50,28.6,7.1,0","14.3,35.7,42.9,7.1,0","1,160",締切,https://kabu.96ut.com/article/ipo/2012008/
2012,ライフネット生命,野村,03/15(木),東M,7157,"1,000-1,200","1,000","1,450","1,100",B,6,"1,062",12,"0,0,16.7,50,33.3","0,0,0,75,25",930,締切,https://kabu.96ut.com/article/ipo/2012007/
2012,エムアップ,大和,03/14(水),東M,3661,"1,050-1,130","1,130","2,500","2,500",A,9,"2,277",12,"50,50,0,0,0","50,50,0,0,0","1,987",締切,https://kabu.96ut.com/article/ipo/2012006/
2012,大阪工機,野村,03/09(金),JQS,3173,700-720,700,800,680,C,4,728,11,"0,0,9.1,36.4,54.5","0,0,0,100,0",685,締切,https://kabu.96ut.com/article/ipo/2012005/
2012,アイスタイル,みずほ,03/08(木),東M,3660,760-840,840,"1,650","1,550",A,8,"1,573",16,"28.6,57.1,14.3,0,0","37.5,62.5,0,0,0","1,630",締切,https://kabu.96ut.com/article/ipo/2012004/
2012,ティーライフ,野村,03/06(火),JQS,3172,480-530,510,580,530,C,5,551,9,"0,0,22.2,44.4,33.3","0,0,11.1,88.9,0",556,締切,https://kabu.96ut.com/article/ipo/2012003/
2012,マックスバリュ九州,野村,02/22(水),JQS,3171,"1,000-1,250","1,250","1,050","1,300",C,4,"1,213",8,"0,0,50,12.5,37.5","0,0,11.1,55.6,33.3","1,300",締切,https://kabu.96ut.com/article/ipo/2012002/
2012,リフォームスタジオ,みずほ,02/08(水),JQS,6057,,未,未,-,,,"2,588",6,"0,16.7,83.3,0,0","0,0,83.3,16.7,0",-,締切,https://kabu.96ut.com/article/ipo/2012001/
2013,ヒューマン・メタボローム・テクノロジーズ,いちよし,12/24(火),東M,6090,"1,300-1,400","1,400","3,500","3,500",A,8,"4,809",40,"33.3,50,16.7,0,0","85,12.5,2.5,0,0","3,100",締切,https://kabu.96ut.com/article/ipo/2013060/
2013,シンプロメンテ,みずほ,12/19(木),東M,6086,910-950,950,"2,300","1,600",A,9,"2,576",28,"24,40,36,0,0","78.6,14.3,3.6,3.5,0","2,235",締切,https://kabu.96ut.com/article/ipo/2013053/
2013,足利ホールディングス,野村,12/19(木),東1,7167,400-420,420,440,426,C,5,429,51,"2.1,0,19.1,44.7,34","0,0,0,100,0",451,締切,https://kabu.96ut.com/article/ipo/2013055/
2013,ダイキアクシス,三菱,12/19(木),東2,4245,"1,200-1,300","1,300","1,750","1,196",B,7,"1,952",33,"3.2,19.4,45.2,25.8,6.4","27.3,9.1,48.5,12.1,3","1,351",締切,https://kabu.96ut.com/article/ipo/2013058/
2013,ウィルグループ,日興,12/19(木),東2,6089,"2,770-2,870","2,870","3,900","2,650",B,7,"4,241",37,"8.6,22.9,48.6,8.6,11.3","10.8,32.4,29.7,27,0","2,750",締切,https://kabu.96ut.com/article/ipo/2013059/
2013,シグマクシス,日興,12/18(水),東M,6088,"2,830-3,010","3,010","5,500","3,300",A,9,"5,586",43,"17.1,43.9,26.8,9.8,2.4","41.9,23.3,23.3,11.5,0","3,020",締切,https://kabu.96ut.com/article/ipo/2013057/
